ID,Latitude,Longitude,variable,,,,
USC00018517,33.7392,-88.1275,PRCP,1938,2020,,
USC00018637,31.21,-87.1789,PRCP,1941,2020,,
USC00194313,42.6408,-71.3636,SNOW,1889,2020,,
USC00200094,42.2486,-84.7736,WT01,1889,2020,,
USC00252065,40.2333,-100.83,TMAX,1889,2020,,
USC00252065,40.2333,-100.83,TMIN,1889,2020,,
USC00018648,34.0661,-86.3069,PRCP,1941,2020,,
USC00252065,40.2333,-100.83,SNOW,1889,2020,,
USC00252065,40.2333,-100.83,SNWD,1889,2020,,
USC00018673,32.7747,-87.8306,PRCP,1958,2020,,
USC00407884,36.4161,-82.9839,SNWD,1889,2020,,
USC00018809,33.1186,-87.1267,PRCP,1940,2020,,
USC00444876,37.7767,-79.4386,TMAX,1889,2020,,
USC00444876,37.7767,-79.4386,TMIN,1889,2020,,
USC00018859,32.5936,-86.1664,PRCP,1893,2020,,
USC00444876,37.7767,-79.4386,SNWD,1889,2020,,
USC00018998,33.9108,-87.8469,PRCP,1923,2020,,
USC00020060,33.9433,-113.1875,PRCP,1924,2019,,
USC00471578,44.9278,-91.4081,SNOW,1889,2020,,
USC00471578,44.9278,-91.4081,SNWD,1889,2020,,
USC00020080,32.3697,-112.86,PRCP,1914,2020,,
USC00475255,45.1308,-90.3439,SNWD,1889,2020,,
USC00020100,34.2281,-113.5778,PRCP,1975,2020,,
USC00476718,43.5278,-89.4342,SNWD,1889,2020,,
USW00014898,44.4983,-88.1111,SNWD,1889,2020,,
USW00024157,47.6217,-117.5281,TMAX,1889,2020,,
USW00024157,47.6217,-117.5281,TMIN,1889,2020,,
USC00020159,33.8492,-109.1469,PRCP,1904,2020,,
USC00068138,41.795,-72.2286,DAPR,1889,2019,,
USC00068138,41.795,-72.2286,MDPR,1889,2019,,
USC00194313,42.6408,-71.3636,WT11,1889,2019,,
USC00020287,31.9792,-111.3836,PRCP,1942,2020,,
USC00252205,41.2492,-97.1328,SNOW,1889,2019,,
USC00252205,41.2492,-97.1328,SNWD,1889,2019,,
USC00361485,41.1922,-79.4361,WT04,1889,2019,,
USC00200094,42.2486,-84.7736,TMAX,1889,2018,,
USC00200094,42.2486,-84.7736,TMIN,1889,2018,,
USW00024121,40.8289,-115.7886,WT05,1889,2018,,
USC00260507,39.4931,-117.0675,WT01,1889,2017,,
USC00252205,41.2492,-97.1328,WT03,1889,2015,,
USC00266252,37.9339,-114.4522,WT01,1889,2015,,
USC00266252,37.9339,-114.4522,WT03,1889,2015,,
USC00266252,37.9339,-114.4522,WT05,1889,2015,,
USC00020380,31.5767,-111.3172,PRCP,1899,2020,,
USC00172426,44.9067,-66.9919,TMAX,1889,2013,,
USC00172426,44.9067,-66.9919,TMIN,1889,2013,,
USC00020498,33.0869,-111.2864,PRCP,1956,2020,,
USC00090979,31.2239,-84.5553,SNOW,1889,2012,,
USC00194313,42.6408,-71.3636,WT05,1889,2012,,
USC00252205,41.2492,-97.1328,WT05,1889,2011,,
USC00153430,37.2572,-85.5011,SNWD,1889,2010,,
USC00013511,32.6922,-87.5761,TMAX,1890,2020,,
USC00013511,32.6922,-87.5761,TMIN,1890,2020,,
USC00013511,32.6922,-87.5761,TOBS,1890,2020,,
USC00020586,34.5975,-113.1744,PRCP,1925,2020,,
USC00013511,32.6922,-87.5761,SNWD,1890,2020,,
USC00031152,33.59,-92.8236,TMAX,1890,2020,,
USC00031152,33.59,-92.8236,TMIN,1890,2020,,
USC00020632,33.8097,-111.6497,PRCP,1939,2020,,
USC00031596,35.1033,-92.4903,SNOW,1890,2020,,
USC00032444,36.1006,-94.1744,TMIN,1890,2020,,
USC00020672,36.9139,-113.9422,PRCP,1956,2020,,
USC00032444,36.1006,-94.1744,SNOW,1890,2020,,
USC00032444,36.1006,-94.1744,SNWD,1890,2020,,
USC00033734,35.8489,-90.6589,TMAX,1890,2020,,
USC00033734,35.8489,-90.6589,TMIN,1890,2020,,
USC00033734,35.8489,-90.6589,SNOW,1890,2020,,
USC00020750,36.6778,-110.5411,PRCP,1939,2020,,
USC00034756,34.5978,-94.29,SNOW,1890,2020,,
USC00034756,34.5978,-94.29,SNWD,1890,2020,,
USC00020808,33.4783,-109.7517,PRCP,1948,2020,,
USC00035754,34.2256,-92.0186,SNOW,1890,2020,,
USC00035908,33.8203,-93.3878,TMAX,1890,2020,,
USC00035908,33.8203,-93.3878,TMIN,1890,2020,,
USC00020871,34.6108,-111.1922,PRCP,1967,2020,,
USC00020949,33.9431,-114.0242,PRCP,1932,2017,,
USC00036918,34.4764,-91.5381,SNOW,1890,2020,,
USC00126001,37.9286,-87.8956,SNWD,1890,2020,,
USC00202423,44.2839,-83.5036,TMAX,1890,2020,,
USC00202423,44.2839,-83.5036,TMIN,1890,2020,,
USC00020958,32.325,-109.4917,PRCP,1899,2012,,
